Mitocheck_Phenotypic_Class	frame_details
Large	PLLT0010_27--ex2005_05_13--sp2005_03_23--tt17--c5___P00173_01___T00082___X0397___Y0618
Large	PLLT0010_27--ex2005_05_13--sp2005_03_23--tt17--c5___P00173_01___T00082___X0359___Y0584
Large	PLLT0010_27--ex2005_05_13--sp2005_03_23--tt17--c5___P00173_01___T00082___X0383___Y0685
Large	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00074___X0934___Y0544
Large	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00074___X0479___Y0121
Large	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00094___X0465___Y0822
Large	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00094___X0851___Y0101
Large	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00094___X1082___Y0024
Large	PLLT0017_19--ex2005_07_06--sp2005_04_12--tt19--c5___P00365_01___T00064___X0091___Y0888
Large	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00069___X0329___Y0385
Large	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00292_01___T00087___X0714___Y0637
Large	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00292_01___T00094___X0344___Y0420
Large	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0859___Y0630
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00035___X0673___Y0421
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0664___Y0416
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0105___Y0561
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00044_01___T00027___X0887___Y0340
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00044_01___T00027___X0904___Y0199
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00044_01___T00027___X0943___Y0258
Large	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00044_01___T00027___X0861___Y0269
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X1094___Y0252
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X1081___Y0107
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X1076___Y0221
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X1038___Y0193
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X1011___Y0156
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00046___X0674___Y0168
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00051___X1068___Y0097
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X1122___Y0143
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X1021___Y0160
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X1080___Y0163
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X1049___Y0203
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X1120___Y0140
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X1075___Y0074
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X1158___Y0051
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X1123___Y0141
Large	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X1094___Y0279
Large	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0258___Y0060
Large	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0204___Y0057
Large	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0963___Y0414
Large	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00048___X0119___Y0952
Large	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0098___Y0969
Large	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00076___X1078___Y0555
Large	PLLT0100_03--ex2005_12_16--sp2005_08_11--tt17--c3___P00093_01___T00036___X0788___Y0559
Large	PLLT0100_03--ex2005_12_16--sp2005_08_11--tt17--c3___P00093_01___T00036___X1278___Y0546
Large	PLLT0100_03--ex2005_12_16--sp2005_08_11--tt17--c3___P00093_01___T00083___X0241___Y0710
Large	PLLT0105_04--ex2006_02_03--sp2005_08_22--tt17--c3___P00144_01___T00092___X0404___Y0564
Large	PLLT0105_04--ex2006_02_03--sp2005_08_22--tt17--c3___P00144_01___T00092___X0699___Y0427
Large	PLLT0105_04--ex2006_02_03--sp2005_08_22--tt17--c3___P00144_01___T00092___X0478___Y0170
Large	PLLT0105_04--ex2006_02_03--sp2005_08_22--tt17--c3___P00144_01___T00092___X0674___Y0745
Large	PLLT0109_38--ex2005_09_21--sp2005_08_24--tt17--c5___P00349_01___T00068___X1232___Y0760
Large	PLLT0109_38--ex2005_09_21--sp2005_08_24--tt17--c5___P00349_01___T00068___X0478___Y0646
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X1009___Y0370
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0697___Y0386
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0991___Y0312
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0853___Y0942
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0788___Y0063
